city,country,apartment_1bed_city_centre,apartment_1bed_outside_centre,apartment_3bed_city_centre,apartment_3bed_outside_centre,apples_1kg,average_salary_net,banana_1kg,beef_round_1kg,bread_500g,cappuccino,cheese_1kg,chicken_breasts_1kg,cigarettes_marlboro,cinema_ticket,coke_pepsi_bottle,domestic_beer_bottle,domestic_beer_draught,eggs_12,fitness_club_monthly,gasoline_1_liter,imported_beer_bottle,internet_unlimited,jeans_levis,lettuce_head,mcmeal_mcdonalds,meal_inexpensive_restaurant,meal_mid_range_restaurant,men_leather_shoes,milk_1_liter,mobile_tariff_minute,monthly_pass_transport,mortgage_interest_rate,nike_shoes,one_way_ticket_transport,onion_1kg,oranges_1kg,potato_1kg,preschool_monthly,primary_school_yearly,rice_1kg,sqm_price_city_centre,sqm_price_outside_centre,summer_dress_chain_store,taxi_1km,taxi_start,taxi_waiting_1hour,tennis_court_hourly,tomato_1kg,toyota_corolla,utilities_basic_apartment,volkswagen_golf,water_033_bottle,water_15_bottle,wine_bottle
Saint Petersburg,Russia,524.45,344.27,1012.53,615.19,1.29,645.94,0.89,7.18,0.71,1.96,7.6,3.96,2.2,5.14,0.76,0.88,2.2,1.18,26.27,0.67,1.89,6.96,71.86,0.86,4.4,7.34,29.35,100.72,0.98,0.03,42.56,10.29,74.88,0.59,0.48,1.25,0.56,411.83,5388.86,0.92,2476.05,1507.7,38.25,0.26,1.47,4.4,18.33,1.91,19305.29,102.17,19289.39,,0.63,5.87
Istanbul,Turkey,291.55,177.72,545.5,314.98,0.85,436.0,1.91,9.73,0.36,1.84,5.32,3.5,2.75,3.82,0.64,1.79,3.06,1.62,25.1,1.05,2.48,14.2,36.15,0.61,3.82,4.58,15.28,50.58,0.71,0.11,31.32,19.08,61.31,0.41,0.62,0.86,0.59,282.94,6905.43,1.3,1315.18,657.05,25.91,0.47,0.76,3.59,15.66,0.8,20874.72,59.33,24443.15,,0.33,7.64
Izmir,Turkey,212.22,128.36,353.76,225.34,0.77,392.07,1.78,8.61,0.38,1.56,4.97,3.05,2.29,3.06,0.61,1.63,2.29,1.51,20.64,1.04,2.09,12.89,33.2,0.57,3.06,3.06,12.22,42.2,0.65,0.09,22.92,22.23,52.74,0.46,0.58,0.73,0.52,212.18,4948.41,1.31,856.54,508.14,22.48,0.57,0.61,3.51,11.67,0.7,20898.83,51.07,24443.15,,0.29,6.11
Helsinki,Finland,986.93,758.13,1819.32,1271.16,2.1,2382.56,1.61,12.34,2.27,3.87,6.87,9.42,7.7,14.0,2.66,2.23,6.5,2.02,34.54,1.54,2.95,22.31,83.41,2.3,8.0,12.0,65.0,120.97,0.96,0.07,59.7,1.38,82.49,2.8,1.25,1.75,0.91,351.6,1641.0,2.13,7444.54,4099.36,31.41,1.0,6.0,47.04,24.72,2.91,24402.77,82.66,22000.0,,1.54,12.0
Chisinau,Moldova,244.49,177.96,428.67,330.84,0.7,286.95,1.37,5.37,0.33,1.25,5.79,3.55,1.56,5.19,0.64,0.77,1.04,1.11,26.64,0.98,1.38,8.58,56.54,0.84,4.15,4.67,20.74,94.38,0.68,0.07,9.33,9.42,86.25,0.1,0.59,1.22,0.56,210.52,2679.3,0.93,904.82,589.13,35.37,0.18,1.3,3.11,12.1,1.56,17238.13,113.46,16335.12,,0.59,3.61
Milan,Italy,1099.67,731.69,2311.84,1428.3,2.13,1601.0,1.99,17.75,1.94,1.46,13.54,8.83,5.5,10.0,2.49,1.2,5.0,2.87,66.62,1.59,2.01,28.93,86.65,1.27,8.0,15.0,60.0,135.8,1.21,0.18,39.0,1.95,86.32,2.0,1.27,2.05,1.28,617.27,10761.9,2.25,8221.95,3719.51,32.8,1.12,5.0,28.32,22.96,2.45,23233.33,163.97,22400.0,,0.4,7.0
Cairo,Egypt,188.0,109.76,352.74,229.29,1.31,221.7,0.66,8.06,0.51,1.65,3.16,4.18,2.26,4.51,0.29,1.4,1.69,1.04,26.19,0.45,2.06,14.77,42.38,0.28,4.51,3.38,17.48,56.92,0.84,0.01,11.28,13.42,114.98,0.28,0.34,0.39,0.47,121.15,2781.29,0.65,695.67,407.03,44.32,0.17,0.39,1.13,7.07,0.35,21020.29,25.79,25098.6,,0.29,10.72
Banja Luka,Bosnia And Herzegovina,219.72,159.73,398.18,259.32,0.86,430.69,1.06,7.43,0.63,0.85,4.76,3.97,2.81,2.55,1.18,0.5,1.02,1.47,20.7,1.17,0.86,21.34,63.44,0.55,3.58,3.58,22.99,74.25,0.69,0.1,22.48,4.46,73.77,0.92,0.64,1.18,0.55,128.7,1348.77,1.05,1328.34,1008.17,26.64,0.77,1.02,7.66,9.38,0.94,16529.98,141.04,16859.68,,0.48,4.34
Baku,Azerbaijan,290.07,157.97,608.91,299.45,0.69,294.03,1.22,6.15,0.26,2.15,3.54,2.92,2.11,3.69,0.37,0.76,0.84,1.03,30.43,0.49,1.94,15.51,43.59,0.42,4.22,5.27,23.73,76.12,0.83,0.03,9.63,8.21,93.36,0.16,0.39,1.26,0.46,208.84,5657.01,1.05,1307.4,647.53,40.16,0.32,0.84,1.58,16.73,0.83,18564.59,42.65,15558.4,,0.43,4.75
Guadalajara,Mexico,309.42,186.98,634.96,388.33,1.96,498.68,0.94,6.88,1.35,1.99,4.09,4.65,2.48,3.58,0.66,0.82,1.43,1.25,24.59,1.0,1.48,27.53,40.8,0.73,4.25,5.25,23.86,57.71,0.87,0.06,18.67,11.24,68.04,0.43,1.03,1.02,1.0,145.75,2826.61,1.04,1016.15,922.24,29.7,0.46,1.43,7.16,9.71,0.98,15579.09,22.64,16535.22,,0.73,7.16
Kathmandu,Nepal,155.63,100.89,295.43,186.01,1.69,184.17,0.9,4.39,0.43,1.54,7.48,3.69,1.99,3.06,0.45,1.78,2.38,1.29,24.02,0.87,2.5,16.66,24.3,0.28,5.56,1.99,11.92,38.55,0.67,0.02,7.15,11.06,49.71,0.16,0.41,0.95,0.32,55.92,1154.07,0.79,1228.74,596.05,27.81,0.6,1.99,2.78,8.5,0.5,46216.93,24.92,29976.83,,0.28,6.75
Hanoi,Vietnam,318.43,192.28,608.96,426.13,2.71,354.62,0.85,7.92,0.71,1.57,14.41,3.36,1.11,3.69,0.45,0.65,0.78,1.31,24.06,0.79,1.18,9.41,30.9,0.58,3.88,1.94,15.52,67.54,1.32,0.06,7.76,8.39,73.25,0.27,0.91,1.63,0.92,166.55,8021.9,0.79,1791.94,936.95,28.7,0.43,0.39,1.16,6.68,0.94,33491.64,67.49,38808.39,,0.59,7.76
Ho Chi Minh City,Vietnam,421.19,284.19,971.4,588.11,2.37,347.14,0.77,9.69,0.66,1.72,11.35,2.45,0.97,3.5,0.43,0.73,0.78,1.26,21.48,0.8,1.13,10.42,37.62,0.72,3.87,1.94,17.5,66.79,1.21,0.08,5.83,9.15,81.51,0.23,0.92,1.18,0.93,109.65,7237.44,0.71,2317.13,1102.68,29.14,0.54,0.47,1.17,6.82,0.77,30780.17,51.25,38894.22,,0.47,9.72
Mexico City,Mexico,550.18,342.38,1139.78,734.62,1.93,596.3,0.95,6.9,1.44,2.0,4.93,4.41,2.48,3.82,0.61,1.08,1.91,1.36,49.56,0.98,2.15,26.34,41.62,0.76,4.77,4.77,23.86,72.78,0.91,0.06,14.32,11.28,73.85,0.29,1.13,0.82,1.07,211.05,4721.73,0.95,2188.9,1438.46,32.29,0.29,0.62,4.94,16.17,1.05,14844.85,30.09,16702.48,,0.66,7.16
Rome,Italy,987.37,679.27,1870.0,1176.32,1.88,1466.06,1.77,14.54,1.54,1.28,12.33,8.32,5.5,8.5,1.87,1.02,5.0,2.96,57.77,1.57,1.57,29.64,80.36,1.0,8.0,15.0,55.0,116.65,1.28,0.18,35.0,2.12,79.79,1.5,1.29,1.84,1.33,523.86,11972.73,2.02,6421.74,2926.09,31.39,1.41,4.0,27.0,16.81,2.04,23535.29,171.15,20700.0,,0.38,6.0
Monterrey,Mexico,342.55,207.9,757.86,461.34,2.14,695.46,0.88,6.01,1.51,2.28,5.2,4.72,2.49,3.59,0.69,0.94,1.68,1.6,34.28,0.97,1.41,25.84,40.51,0.79,4.31,5.75,23.94,61.59,0.91,0.05,17.96,10.25,66.7,0.57,1.44,1.01,1.21,198.98,4080.55,0.87,1021.06,632.67,28.55,0.38,0.67,7.18,10.37,1.23,14421.34,49.81,16424.2,,0.79,9.58
Yekaterinburg,Russia,332.66,232.83,549.9,394.59,1.29,537.99,0.97,6.79,0.43,1.65,6.29,3.87,1.91,3.68,0.77,0.86,1.47,0.92,35.51,0.65,1.33,7.61,62.56,0.52,4.12,5.88,29.42,91.27,0.75,0.02,29.42,10.56,74.23,0.41,0.41,1.21,0.43,199.74,3166.47,0.83,1412.29,955.57,38.29,0.21,1.47,3.53,16.31,1.31,18832.1,113.13,19857.48,,0.46,6.99
Sarajevo,Bosnia And Herzegovina,254.49,170.61,510.21,307.2,0.94,486.12,1.13,7.66,0.52,1.28,5.58,3.85,2.81,3.57,1.36,0.62,1.79,1.49,26.5,1.19,1.0,22.77,53.86,0.51,4.08,3.57,20.42,86.28,0.7,0.12,27.06,4.6,71.16,0.92,0.63,1.22,0.57,164.67,3431.24,1.05,1690.41,994.5,29.39,0.61,0.97,5.11,10.58,1.13,17681.12,140.53,17868.62,,0.51,4.59
Kharkiv,Ukraine,346.56,217.86,615.91,392.63,0.56,337.4,0.98,4.84,0.41,1.03,6.47,3.48,1.43,3.75,0.38,0.66,0.88,1.0,18.58,1.09,1.18,5.57,64.99,0.68,3.75,4.5,18.76,105.76,0.85,0.03,11.42,19.1,90.65,0.3,0.39,1.08,0.38,176.48,2033.83,0.97,961.38,525.36,42.65,0.26,1.5,3.38,8.27,0.95,21067.14,117.46,22507.19,,0.4,3.75
Kiev,Ukraine,589.81,340.8,988.82,560.35,0.59,516.75,1.06,5.65,0.58,1.17,7.07,3.92,1.65,4.31,0.58,0.75,1.13,1.13,20.92,1.12,1.32,5.11,64.03,0.85,3.75,5.63,22.51,110.43,0.93,0.04,12.19,19.52,98.26,0.3,0.55,1.11,0.5,254.74,7483.6,1.04,1652.8,802.55,40.73,0.26,1.69,3.0,11.48,1.57,20758.91,98.74,21608.29,,0.49,3.75
Calgary,Canada,833.74,661.22,1352.81,1045.82,2.8,2956.33,1.21,10.19,1.83,3.14,9.53,9.17,11.0,9.62,1.63,2.53,4.81,2.19,40.58,0.72,2.75,54.67,42.31,1.63,6.87,13.75,42.97,84.89,1.35,0.19,72.87,3.48,66.55,2.34,1.58,2.76,1.5,780.68,10418.14,2.0,3412.99,2123.54,30.61,1.15,2.61,19.8,16.06,2.42,15976.18,132.57,17186.61,,1.59,10.31
Tunis,Tunisia,173.76,121.37,331.41,244.12,1.42,285.79,1.54,8.04,0.1,0.67,6.52,3.39,2.08,3.19,0.5,0.74,1.6,0.82,22.1,0.63,0.9,17.03,39.79,0.28,3.19,1.92,12.78,45.83,0.39,0.06,9.58,9.23,71.6,0.16,0.49,0.6,0.5,72.31,1644.93,0.56,714.1,504.39,37.3,0.32,0.16,4.79,6.44,0.53,21400.1,30.66,21863.24,,0.22,4.79
Edmonton,Canada,841.34,680.79,1340.62,1052.03,2.68,2552.22,1.11,9.78,1.82,2.95,7.4,8.45,9.62,9.62,1.48,1.54,4.12,2.2,38.6,0.71,2.37,52.56,45.49,1.72,6.53,13.75,48.12,83.04,1.57,0.23,66.68,3.62,64.09,2.41,1.53,2.54,2.14,588.27,6840.27,2.53,2283.92,1715.29,33.79,1.13,2.58,20.62,13.33,3.09,16049.12,154.54,16499.14,,1.24,10.31
Amsterdam,Netherlands,1584.45,1195.63,2683.74,1884.0,2.27,2646.66,1.75,13.68,1.43,3.13,11.93,8.79,7.0,12.0,2.35,1.26,5.0,2.64,36.67,1.66,2.07,40.47,84.49,1.03,8.0,15.0,65.0,133.43,1.02,0.18,97.0,2.33,93.85,3.2,1.27,1.77,1.54,1542.42,13010.39,1.9,7733.98,4988.62,37.62,2.35,5.0,40.33,25.64,2.36,26696.43,169.18,25505.0,,0.83,5.99
Belgrade,Serbia,341.08,216.64,652.24,395.57,0.72,437.24,0.98,6.65,0.42,1.41,5.03,4.51,2.8,4.24,1.34,0.61,1.7,1.37,24.61,1.35,1.1,21.45,65.5,0.38,5.09,5.39,24.62,92.13,0.79,0.1,27.17,3.99,74.8,0.76,0.5,1.03,0.52,245.94,4803.12,1.09,2502.53,1345.89,27.28,0.55,1.44,6.37,12.13,1.02,17474.32,135.76,17828.77,,0.43,4.24
Odessa,Ukraine,344.01,232.04,599.79,405.27,0.65,360.47,1.05,5.65,0.45,1.19,6.61,3.92,1.51,4.52,0.57,0.68,0.94,1.18,20.84,1.09,1.37,5.73,74.37,0.82,3.67,5.65,20.67,107.27,0.97,0.03,6.77,19.0,97.01,0.26,0.47,1.36,0.46,210.98,2358.66,0.97,1107.23,645.76,50.34,0.26,1.88,4.52,9.45,1.35,21373.22,94.58,21584.23,,0.48,3.01
Paris,France,1177.51,837.76,2597.17,1736.93,3.04,2215.02,2.11,18.89,1.52,3.4,18.14,12.98,8.8,11.0,3.14,1.78,7.0,3.4,39.98,1.56,2.27,27.15,86.04,1.3,8.7,15.0,50.0,135.0,1.24,0.19,75.0,1.63,92.46,1.9,2.28,2.64,1.98,877.75,12939.69,1.79,11203.03,8334.37,36.0,1.35,5.0,39.02,20.05,2.82,24250.0,170.29,21500.0,,0.9,8.0
